temperature_ID,humidity_ID,ph_ID,rainfall_ID,temperature_bins,humidity_bins,ph_bins,rainfall_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,0,[ 0. 15. 20. 27. 35. 45.],[  0.  30.  50.  70.  85. 100.],[ 0.   5.5  6.5  7.5  8.5 10. ],[  0.  50. 100. 150. 200. 300.],0.1292045454545454,1.0,1.0,4.0,1,1
0,0,0,28,[ 0. 15. 20. 27. 35. 45.],[  0.  30.  50.  70.  85. 100.],[ 0.   5.5  6.5  7.5  8.5 10. ],[  0.    75.88 131.55 187.22 242.89 298.56],0.1320454545454545,0.9795567886136056,0.9998074002988,3.25,1,1
0,0,69,0,[ 0. 15. 20. 27. 35. 45.],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.  50. 100. 150. 200. 300.],0.1518181818181818,0.8579331832405824,0.9900813833650808,3.25,1,1
0,0,69,28,[ 0. 15. 20. 27. 35. 45.],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1547727272727272,0.837489971854188,0.9898887836638808,2.5,1,1
4,19,69,28,[ 0.   26.25 43.68],[  0.    60.26  80.47  89.95 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1667045454545454,0.6227112405275456,0.9075006783432952,1.0,1,1
8,0,69,28,[ 0.   26.83 27.   44.  ],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1656818181818182,0.720801140343587,0.9242069140551364,1.75,1,1
8,13,69,9,[ 0.   26.83 27.   44.  ],[ 0.   65.44 84.97 99.98],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0. 100. 200. 300.],0.1706818181818181,0.5142446691394926,0.7782662701391025,1.25,1,1
8,13,69,12,[ 0.   26.83 27.   44.  ],[ 0.   65.44 84.97 99.98],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.   112.99 205.78 298.56],0.1717045454545454,0.5134460877785376,0.7770395518110893,1.0,1,1
8,13,69,28,[ 0.   26.83 27.   44.  ],[ 0.   65.44 84.97 99.98],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.17,0.6125242743041688,0.8603621808467288,1.0,1,1
8,19,69,12,[ 0.   26.83 27.   44.  ],[  0.    60.26  80.47  89.95 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.   112.99 205.78 298.56],0.1705681818181818,0.537494510532977,0.8224506960367864,1.0,1,1
8,19,69,20,[ 0.   26.83 27.   44.  ],[  0.    60.26  80.47  89.95 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    89.8  159.39 228.97 298.56],0.1692045454545454,0.5596125833024411,0.8657242303878457,1.0,1,1
8,19,69,28,[ 0.   26.83 27.   44.  ],[  0.    60.26  80.47  89.95 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1686363636363636,0.6365726970586082,0.905773325072426,1.0,1,1
8,29,69,28,[ 0.   26.83 27.   44.  ],[ 0.   54.3  70.89 82.95 90.96 99.98],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1672727272727273,0.6943464123039366,0.9066130880327594,1.0,1,1
13,0,0,28,[ 0.   23.8  27.55 43.68],[  0.  30.  50.  70.  85. 100.],[ 0.   5.5  6.5  7.5  8.5 10. ],[  0.    75.88 131.55 187.22 242.89 298.56],0.1380681818181818,0.8638948965069174,0.9939421364575496,2.5,1,1
13,0,69,28,[ 0.   23.8  27.55 43.68],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.16125,0.7218280797474999,0.9840235198226304,1.75,1,1
13,19,69,20,[ 0.   23.8  27.55 43.68],[  0.    60.26  80.47  89.95 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    89.8  159.39 228.97 298.56],0.1647727272727272,0.560639522706354,0.9255408361553396,1.0,1,1
13,19,69,28,[ 0.   23.8  27.55 43.68],[  0.    60.26  80.47  89.95 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1642045454545454,0.6375996364625212,0.9655899308399196,1.0,1,1
16,0,0,0,[ 0.   20.74 21.03 26.99 44.  ],[  0.  30.  50.  70.  85. 100.],[ 0.   5.5  6.5  7.5  8.5 10. ],[  0.  50. 100. 150. 200. 300.],0.1340909090909091,0.9115882175414628,0.9962474060098588,3.25,1,1
16,0,0,28,[ 0.   20.74 21.03 26.99 44.  ],[  0.  30.  50.  70.  85. 100.],[ 0.   5.5  6.5  7.5  8.5 10. ],[  0.    75.88 131.55 187.22 242.89 298.56],0.1371590909090909,0.8911450061550684,0.9960548063086588,2.5,1,1
16,0,69,0,[ 0.   20.74 21.03 26.99 44.  ],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.  50. 100. 150. 200. 300.],0.1569318181818182,0.7695214007820452,0.9863287893749396,2.5,1,1
16,0,69,28,[ 0.   20.74 21.03 26.99 44.  ],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1598863636363636,0.7490781893956509,0.9861361896737396,1.75,1,1
16,19,69,28,[ 0.   20.74 21.03 26.99 44.  ],[  0.    60.26  80.47  89.95 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1630681818181818,0.6648497461106722,0.967702600691029,1.0,1,1
16,29,69,28,[ 0.   20.74 21.03 26.99 44.  ],[ 0.   54.3  70.89 82.95 90.96 99.98],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.    75.88 131.55 187.22 242.89 298.56],0.1614772727272727,0.7226234613560005,0.9685423636513626,1.0,1,1
